"site","period","spp","dens","norm"
"2",60,"calred",9,-0.567716066418942
"2",60,"encrust",25.5,-1.98437361993111
"2",60,"folred",47,3.25811972448845
"2",61,"brown",0.5,-0.936326937990729
"2",61,"calred",6.5,-0.890558893888942
"2",61,"encrust",52.5,-0.234750298845824
"2",61,"folred",40.5,2.72068987287903
"2",62,"brown",NA,NA
"2",62,"calred",NA,NA
"2",62,"encrust",NA,NA
"2",62,"folred",NA,NA
"2",63,"brown",4.5,-0.675826530045802
"2",63,"calred",8.5,-0.632284631912942
"2",63,"encrust",60.5,0.283656611105371
"2",63,"folred",22,1.19108183368299
"3",1,"brown",8.5,-0.161781444589058
"3",1,"calred",24.5,1.37127962287502
"3",1,"encrust",55,-0.144235979508436
"3",1,"folred",5,-0.206957417396604
"3",2,"brown",17,0.503812535204282
"3",2,"calred",31,2.19349058435819
"3",2,"encrust",43.5,-0.922982424113635
"3",2,"folred",17,0.980635108540884
"3",3,"brown",5.5,-0.39669696686906
"3",3,"calred",25.5,1.49777361694935
"3",3,"encrust",44,-0.889123883043843
"3",3,"folred",8.5,0.13942373600183
"3",4,"brown",20.5,0.777880644530951
"3",4,"calred",27.5,1.75076160509802
"3",4,"encrust",31,-1.76944595085842
"3",4,"folred",23,1.57443137150963
"3",5,"brown",15.5,0.38635477406428
"3",5,"calred",31.5,2.25673758139536
"3",5,"encrust",33.5,-1.60015324550946
"3",5,"folred",10.5,0.337355823658078
"3",6,"brown",15,0.347202187017613
"3",6,"calred",20,0.802056649540517
"3",6,"encrust",28.8889,-1.91240348296329
"3",6,"folred",12.7778,0.562780678289779
"3",7,"brown",17,0.503812535204282
"3",7,"calred",22.5,1.11829163472635
"3",7,"encrust",40,-1.15999221160217
"3",7,"folred",23.5,1.62391439342369
"3",8,"brown",NA,NA
"3",8,"calred",NA,NA
"3",8,"encrust",NA,NA
"3",8,"folred",NA,NA
"3",9,"brown",0,-0.827375424382398
"3",9,"calred",24,1.30803262583785
"3",9,"encrust",46,-0.753689718764678
"3",9,"folred",1,-0.602821592709099
"3",10,"brown",0.5,-0.788222837335731
"3",10,"calred",22,1.05504463768919
"3",10,"encrust",54,-0.211953061648018
"3",10,"folred",0.5,-0.652304614623161
"3",11,"brown",1,-0.749070250289064
"3",11,"calred",25.5,1.49777361694935
"3",11,"encrust",40.5,-1.12613367053238
